                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.6089,                 1.2254,                 1.5243,                0.78773,                0.60417,                0.66119,                0.31715,                  1.816,                 1.2673,                 1.7627,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5409,                 1.1931,                 1.4686,                  0.743,                0.58333,                0.61294,                0.30924,                  1.859,                 1.3142,                 1.8001,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.576,                 1.1985,                 1.4807,                0.74718,                0.60417,                0.63414,                0.30541,                 1.8581,                 1.3118,                 1.7925,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5582,                 1.1739,                 1.4914,                0.76493,                0.60417,                0.61599,                0.30589,                 1.8527,                 1.3826,                 1.7836,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.6264,                 1.2041,                 1.5154,                0.71433,                0.60417,                0.66358,                0.33578,                  1.824,                 1.3022,                 1.7872,               0.000515,               0.000515,               0.000515
                     78,                 1.5795,                 1.2072,                 1.4797,                0.70971,                  0.625,                0.67088,                0.33531,                 1.8177,                  1.303,                  1.781,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.6076,                 1.2131,                 1.5041,                0.71968,                  0.625,                0.65709,                0.32765,                 1.8136,                 1.3196,                 1.7646,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5796,                 1.1387,                  1.486,                0.72972,                0.58333,                0.65952,                0.32771,                 1.8487,                 1.3523,                 1.8002,              0.0004556,              0.0004556,              0.0004556
                     81,                  1.618,                 1.1686,                 1.4172,                0.78614,                0.61279,                0.68603,                0.31969,                 1.8544,                 1.3603,                  1.799,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.5392,                 1.0955,                 1.4048,                0.78713,                0.61642,                 0.6964,                0.32087,                 1.8739,                 1.3985,                 1.8013,               0.000416,               0.000416,               0.000416
                     83,                 1.5952,                 1.2222,                 1.5658,                0.78621,                0.64583,                0.70451,                0.32525,                 1.8526,                  1.374,                 1.7972,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5786,                 1.1759,                  1.486,                0.80115,                0.64583,                0.69718,                 0.3296,                 1.8811,                 1.3403,                 1.8058,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5661,                   1.12,                 1.4665,                0.81554,                0.66667,                0.69923,                0.33665,                 1.8738,                 1.3611,                 1.7948,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.6164,                 1.2098,                 1.5661,                0.80451,                0.66667,                0.70889,                0.34789,                 1.8368,                 1.3335,                 1.7831,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5187,                 1.1583,                 1.4869,                 0.7657,                0.68093,                0.70855,                0.35171,                 1.8456,                 1.3687,                 1.7844,               0.000317,               0.000317,               0.000317
                     88,                 1.5199,                 1.1376,                 1.4829,                0.74368,                0.66667,                0.70374,                0.33737,                 1.8533,                 1.3679,                 1.7793,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5282,                 1.1151,                 1.4301,                0.74368,                0.66667,                0.70374,                0.33737,                 1.8533,                 1.3679,                 1.7793,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5753,                 1.2084,                 1.5289,                 0.7043,                 0.6875,                0.66382,                0.31031,                 1.8492,                 1.5086,                 1.7318,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5639,                 1.2846,                 1.5759,                0.67811,                 0.6875,                  0.648,                0.31013,                 1.9031,                  1.548,                 1.7611,              0.0002378,              0.0002378,              0.0002378
                     92,                  1.574,                 1.2607,                 1.6265,                0.63131,                0.67788,                0.62828,                0.29079,                 1.9807,                 1.6224,                 1.8222,               0.000218,               0.000218,               0.000218
                     93,                 1.4979,                 1.1844,                 1.5405,                0.64652,                 0.6859,                0.63519,                0.29801,                 1.9407,                 1.6055,                 1.7923,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.5455,                 1.1935,                 1.5189,                0.68095,                0.72917,                 0.6563,                0.30972,                 1.9205,                 1.5456,                 1.7724,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.5546,                 1.2399,                 1.5837,                0.66443,                0.70833,                0.67703,                0.30202,                 1.9189,                 1.4993,                 1.7819,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.5428,                 1.1869,                 1.5191,                0.69146,                0.70833,                0.68812,                0.30676,                 1.9231,                 1.4504,                 1.7957,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.5124,                 1.1513,                 1.5284,                0.69326,                 0.6875,                0.69673,                0.31211,                  1.903,                 1.3928,                 1.7902,               0.000119,               0.000119,               0.000119
                     98,                 1.5124,                 1.1671,                 1.5554,                0.70031,                0.70833,                0.67169,                0.29969,                 1.9144,                 1.4622,                 1.7737,               9.92e-05,               9.92e-05,               9.92e-05
